paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
c0ad248f-26a4-5d71-9130-a2de42f80afb,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q6,,['q6_0_c2.png'],,['c2.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q7,,['q7_0_c2.png'],,['c2.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q8,,['q8_0_c2.png'],,['c2.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q9,,['q9_0_c2.png'],,['c2.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q10,,['q10_0_c2.png'],,['c2.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q11,,['q11_0_c3.png'],,['c3.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q12,,['q12_0_c3.png'],,['c3.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q13,,['q13_0_c3.png'],,['c3.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q14,,['q14_0_c3.png'],,['c3.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q15,,['q15_0_c3.png'],,['c3.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q16,,['q16_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q17,,['q17_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q18,,['q18_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q19,,['q19_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q20,,['q20_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q21,,['q21_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q22,,['q22_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q23,,['q23_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q24,,['q24_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q25,,['q25_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q26,,['q26_0_c4.png'],,['c4.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q27,,['q27_0_c4.png'],,['c4.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q28,,['q28_0_c4.png'],,['c4.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q29,,['q29_0_c4.png'],,['c4.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q30,,['q30_0_c4.png'],,['c4.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q31,,['q31_0_c5.png'],,['c5.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q32,,['q32_0_c5.png'],,['c5.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q33,,['q33_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q34,,['q34_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q35,,['q35_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q36,,['q36_0_c6.png'],,['c6.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q37,,['q37_0_c6.png'],,['c6.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q38,,['q38_0_c6.png'],,['c6.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q39,,['q39_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q40,,['q40_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q41,,['q41_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q42,,['q42_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q43,,['q43_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q44,,['q44_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q45,,['q45_0.png'],,[],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q46,,['q46_0_c7.png'],,['c7.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q47,,['q47_0_c7.png'],,['c7.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q48,,['q48_0_c7.png'],,['c7.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q49,,['q49_0_c7.png'],,['c7.png'],,,,,
c0ad248f-26a4-5d71-9130-a2de42f80afb,q50,,['q50_0_c7.png'],,['c7.png'],,,,,
